time,/jointset/groundPelvis/pelvis_tilt/value,/jointset/groundPelvis/pelvis_tx/value,/jointset/groundPelvis/pelvis_ty/value,/jointset/hip_l/hip_flexion_l/value,/jointset/hip_r/hip_flexion_r/value,/jointset/lumbar/lumbar/value,/jointset/knee_l/knee_angle_l/value,/jointset/knee_r/knee_angle_r/value,/jointset/ankle_l/ankle_angle_l/value,/jointset/ankle_r/ankle_angle_r/value,/jointset/groundPelvis/pelvis_tilt/speed,/jointset/groundPelvis/pelvis_tx/speed,/jointset/groundPelvis/pelvis_ty/speed,/jointset/hip_l/hip_flexion_l/speed,/jointset/hip_r/hip_flexion_r/speed,/jointset/lumbar/lumbar/speed,/jointset/knee_l/knee_angle_l/speed,/jointset/knee_r/knee_angle_r/speed,/jointset/ankle_l/ankle_angle_l/speed,/jointset/ankle_r/ankle_angle_r/speed,/hamstrings_r/activation,/bifemsh_r/activation,/glut_max_r/activation,/iliopsoas_r/activation,/rect_fem_r/activation,/vasti_r/activation,/gastroc_r/activation,/soleus_r/activation,/tib_ant_r/activation,/hamstrings_l/activation,/bifemsh_l/activation,/glut_max_l/activation,/iliopsoas_l/activation,/rect_fem_l/activation,/vasti_l/activation,/gastroc_l/activation,/soleus_l/activation,/tib_ant_l/activation,/lumbarAct,/hamstrings_r,/bifemsh_r,/glut_max_r,/iliopsoas_r,/rect_fem_r,/vasti_r,/gastroc_r,/soleus_r,/tib_ant_r,/hamstrings_l,/bifemsh_l,/glut_max_l,/iliopsoas_l,/rect_fem_l,/vasti_l,/gastroc_l,/soleus_l,/tib_ant_l
0,0.027512278,0.214519242,0.890719056,-0.245455719,0.687378826,-0.13962634,-0.223890828,-1.02217279,0.117214929,-0.294027456,0.145780411,1.28771719,-0.001266261,-1.071726038,-1.454046421,-3.65E-06,-1.024377568,4.016615661,-0.953636814,2.767869419,0.010044155,0.010139353,0.055552925,0.010509879,0.060002543,0.136489612,0.010213334,0.011724595,0.015948387,0.010241693,0.06156015,0.01004067,0.155574182,0.049449126,0.010036637,0.236372702,0.299231044,0.010012708,0.044448517,0.01005565,0.010123347,0.073994638,0.010103834,0.05479061,0.1530584,0.010242721,0.05666678,0.010982036,0.010097167,0.064509666,0.010045104,0.158271203,0.044771725,0.010035399,0.241401427,0.300300887,0.010013007
0.004643596,0.028227254,0.220520347,0.890713892,-0.250409946,0.680173308,-0.13962634,-0.228800035,-1.003165789,0.112712364,-0.28172448,0.162056574,1.296903713,-0.000990625,-1.06068883,-1.647043973,1.81E-06,-1.09213057,4.160195193,-0.985043034,2.517272182,0.010045363,0.010130985,0.060644982,0.010395564,0.059275436,0.140615626,0.010209432,0.020653398,0.014569519,0.010199044,0.062231526,0.010040443,0.156539142,0.049193386,0.010035316,0.236608604,0.298779266,0.010012499,0.03191889,0.01004209,0.010095647,0.077775479,0.010083,0.059172988,0.157528008,0.010159328,0.033401651,0.010760702,0.010076234,0.064055872,0.010035046,0.16181697,0.05180101,0.010028564,0.234036324,0.293388704,0.010010975
0.009287191,0.029016346,0.226563268,0.89070955,-0.255293727,0.672104174,-0.13962634,-0.234053234,-0.983624853,0.108072096,-0.270776912,0.177702791,1.305727502,-0.000912023,-1.04138508,-1.826006722,-3.67E-06,-1.172534973,4.246581711,-1.01294616,2.184087359,0.010042492,0.010117278,0.065364199,0.01030702,0.059823769,0.144792039,0.010183579,0.020732576,0.013503638,0.010162386,0.062622553,0.010037501,0.158053517,0.050790557,0.010032472,0.235374787,0.297152835,0.010011785,0.019389264,0.010028529,0.010067948,0.081556321,0.010062166,0.063555365,0.161997616,0.010075936,0.010136521,0.010539369,0.010055301,0.063602078,0.010024987,0.165362738,0.058830295,0.010021728,0.226671221,0.286476521,0.010008943
0.013930787,0.029879778,0.232647956,0.890704459,-0.260079155,0.663214742,-0.13962634,-0.239702499,-0.963883104,0.103316547,-0.260216824,0.194294595,1.315006237,-0.001334717,-1.018939496,-2.00407403,1.71E-06,-1.26225015,4.256419437,-1.036105203,2.407365685,0.010039837,0.010103735,0.070282013,0.010239557,0.060981798,0.148967337,0.01015477,0.017899292,0.013266342,0.010135994,0.063074701,0.010034286,0.159918949,0.052539299,0.010029592,0.23388743,0.295183052,0.010011069,-0.014678974,0.010036727,0.010067906,0.089003191,0.010060053,0.065348297,0.166114517,0.010080998,0.010248715,0.0145411,0.010076126,0.065236057,0.010026521,0.16823011,0.056694089,0.010022206,0.228614143,0.286147001,0.010009389
0.018574383,0.030821861,0.238776474,0.890696641,-0.264749682,0.653479074,-0.13962634,-0.245791232,-0.94409276,0.098441946,-0.248017785,0.211578312,1.324605575,-0.002086896,-0.991896726,-2.190478722,-2.84E-06,-1.361814503,4.267502352,-1.064222123,2.889992555,0.010040179,0.01009392,0.075772172,0.010190125,0.062295138,0.153105342,0.010135313,0.015851061,0.014190258,0.010122639,0.063819595,0.010032384,0.161992377,0.05329949,0.010027639,0.233063741,0.293508996,0.010010674,-0.048747211,0.010044925,0.010067865,0.096450062,0.01005794,0.067141229,0.170231417,0.010086061,0.010360909,0.018542831,0.010096951,0.066870037,0.010028055,0.171097482,0.054557882,0.010022684,0.230557065,0.285817482,0.010009835
0.023217978,0.031845412,0.244950106,0.890684777,-0.269281059,0.64284788,-0.13962634,-0.252369698,-0.924150181,0.093434826,-0.233423903,0.229350727,1.334417117,-0.003067502,-0.958709779,-2.390841198,-4.72E-07,-1.473665607,4.332643011,-1.092719808,3.38224251,0.010041548,0.010086069,0.081349463,0.01015256,0.063310092,0.157255735,0.010118816,0.014337954,0.015103562,0.010118582,0.064852819,0.010031107,0.164193191,0.053277941,0.010026046,0.232097984,0.292114079,0.010010436,-0.047232237,0.010045386,0.010062985,0.101285513,0.010048878,0.065722439,0.174717426,0.010065284,0.010197342,0.016641736,0.010117787,0.069065022,0.010027435,0.173659586,0.051979733,0.010021061,0.225750953,0.28588835,0.01000978
0.027861574,0.03295265,0.251169769,0.89066773,-0.273643496,0.631252071,-0.13962634,-0.259497232,-0.903753642,0.088290289,-0.21673043,0.247622278,1.344431324,-0.004318596,-0.919135413,-2.605936849,5.89E-06,-1.59829673,4.463015414,-1.123405761,3.794281226,0.010042665,0.010079039,0.086695173,0.010122862,0.063719652,0.16145361,0.010101135,0.01318975,0.015246693,0.010121399,0.066171096,0.010030011,0.166463792,0.052609097,0.010024445,0.230381248,0.290985439,0.010010248,-0.045717263,0.010045846,0.010058106,0.106120965,0.010039817,0.064303648,0.179203434,0.010044508,0.010033775,0.014740641,0.010138623,0.071260008,0.010026815,0.176221689,0.049401583,0.010019439,0.220944841,0.285959219,0.010009724
0.03250517,0.034146162,0.257436487,0.890644099,-0.277807672,0.618623677,-0.13962634,-0.267233651,-0.882608188,0.08300468,-0.198288498,0.266651642,1.354755236,-0.005964037,-0.873505999,-2.836729357,-8.29E-06,-1.73611948,4.656585431,-1.15315547,4.163005864,0.010042237,0.010072717,0.091304205,0.010099404,0.063634714,0.165736591,0.010083461,0.012327062,0.020941493,0.010124035,0.067857227,0.010028861,0.168816189,0.051151001,0.010022787,0.228636624,0.289588618,0.010010108,-0.006088731,0.010036781,0.010054086,0.106295414,0.010035139,0.062522382,0.1841359,0.010029648,0.010021453,0.055949332,0.010124052,0.074690934,0.010024913,0.179043076,0.04445473,0.010017461,0.221835171,0.280863259,0.010009749
0.037148765,0.035431186,0.263752614,0.890611356,-0.281747753,0.604873246,-0.13962634,-0.275642589,-0.860392989,0.077580315,-0.177934256,0.287036188,1.365711446,-0.00824296,-0.822615659,-3.089194166,2.84E-05,-1.88795369,4.923742217,-1.183169166,4.617882011,0.010039422,0.010067031,0.094834604,0.010081131,0.063129055,0.170133017,0.010066565,0.011696685,0.03598575,0.010121918,0.069966409,0.010027503,0.171259125,0.048802559,0.010021041,0.227405119,0.287510563,0.010010013,0.033539801,0.010027715,0.010050066,0.106469864,0.01003046,0.060741116,0.189068366,0.010014789,0.01000913,0.097158024,0.010109482,0.078121861,0.010023011,0.181864462,0.039507877,0.010015483,0.2227255,0.2757673,0.010009774
0.041792361,0.03681498,0.270121428,0.890566271,-0.285439865,0.589889087,-0.13962634,-0.284791051,-0.836717652,0.072019325,-0.155297917,0.30916008,1.377436036,-0.011337131,-0.766214846,-3.368147406,-2.04E-05,-2.055489804,5.290097009,-1.212182107,5.108812543,0.010036703,0.010061738,0.097985022,0.010066389,0.06313438,0.174042752,0.010051972,0.01123498,0.052754732,0.010115418,0.072549676,0.010026132,0.173541393,0.044490388,0.010019219,0.226387435,0.285174155,0.010009986,0.059472666,0.010031158,0.01004563,0.110083072,0.010024628,0.065365288,0.18869714,0.010012119,0.010008784,0.104836878,0.010087978,0.08284361,0.010022046,0.182536363,0.024812174,0.01001342,0.221683365,0.273826076,0.010010041
