gait%,hipAngle,hipAngleHigh,hipAngleLow,kneeAngle,kneeAngleHigh,kneeAngleLow,ankleAngle,ankleAngleHigh,ankleAngleLow
0,0.574832916,0.684740662,0.464925169,-0.244433362,-0.163127198,-0.325739525,0.011013028,0.161966555,-0.139940499
1,0.561794172,0.668626246,0.454962097,-0.260800808,-0.177257436,-0.344344179,0.00780957,0.155668292,-0.140049152
2,0.553997565,0.658993835,0.449001294,-0.29053661,-0.204895955,-0.376177264,0.007666748,0.147058204,-0.131724709
3,0.547521008,0.651611786,0.44343023,-0.324218516,-0.235553728,-0.412883303,0.009110619,0.135167429,-0.116946192
4,0.544353121,0.647216634,0.441489608,-0.372879032,-0.277481677,-0.468276386,0.00908631,0.120196969,-0.102024349
5,0.54701983,0.648648374,0.445391285,-0.420767165,-0.320076539,-0.52145779,0.018837232,0.119891485,-0.082217022
6,0.548766296,0.651357568,0.446175023,-0.484538844,-0.380571381,-0.588506306,0.043570318,0.142059248,-0.054918612
7,0.553002475,0.657724568,0.448280381,-0.546787647,-0.436938954,-0.65663634,0.073472867,0.171957433,-0.0250117
8,0.558952369,0.666680284,0.451224453,-0.613908348,-0.502204446,-0.725612249,0.115521537,0.214919434,0.016123639
9,0.562100987,0.671264808,0.452937165,-0.670175797,-0.562654895,-0.777696698,0.156315907,0.250021428,0.062610385
10,0.562165038,0.674684407,0.449645668,-0.726564524,-0.624891476,-0.828237572,0.201020952,0.287306791,0.114735113
11,0.558230816,0.673313472,0.443148159,-0.775968523,-0.683932432,-0.868004613,0.237490407,0.320536353,0.15444446
12,0.550139613,0.669325208,0.430954017,-0.806540247,-0.718589267,-0.894491227,0.268671767,0.347751714,0.189591819
13,0.535896598,0.659272982,0.412520213,-0.830052518,-0.744430967,-0.915674068,0.299873485,0.377571454,0.222175515
14,0.514701018,0.641344686,0.388057349,-0.842060973,-0.758067217,-0.926054728,0.326647343,0.40126764,0.252027045
15,0.491257517,0.620645473,0.36186956,-0.851359027,-0.764520613,-0.93819744,0.352813143,0.427227094,0.278399191
16,0.460567003,0.594336023,0.326797982,-0.851960759,-0.764235807,-0.939685711,0.374371683,0.446544672,0.302198694
17,0.424831142,0.562497652,0.287164631,-0.839832636,-0.746144456,-0.933520815,0.395597863,0.463890894,0.327304831
18,0.388729068,0.526578545,0.250879591,-0.831055426,-0.733285387,-0.928825464,0.408450516,0.474875889,0.342025142
19,0.349387453,0.490305785,0.20846912,-0.812113775,-0.708784053,-0.915443497,0.417854917,0.483079581,0.352630252
20,0.309645314,0.448440334,0.170850294,-0.789464581,-0.678801507,-0.900127654,0.423521286,0.490431133,0.356611439
21,0.27091421,0.410710002,0.131118417,-0.763776399,-0.647399694,-0.880153103,0.423556084,0.495708675,0.351403492
22,0.222537393,0.360795903,0.084278882,-0.731904137,-0.609656555,-0.854151718,0.409659474,0.493170529,0.326148419
23,0.184001674,0.318769901,0.049233446,-0.701145688,-0.573625356,-0.828666019,0.391653501,0.487909805,0.295397197
24,0.139653959,0.274288657,0.00501926,-0.662904807,-0.52968736,-0.796122253,0.361300361,0.471177541,0.25142318
25,0.095055681,0.22969038,-0.039579018,-0.624160577,-0.485490803,-0.76283035,0.327222105,0.450861329,0.20358288
26,0.050438842,0.185073541,-0.084195857,-0.585454137,-0.441297014,-0.729611259,0.283119001,0.420102424,0.146135577
27,0.00578017,0.140414869,-0.128854529,-0.543846198,-0.395724019,-0.691968377,0.236444246,0.382847755,0.090040736
28,-0.039410819,0.094741184,-0.173562822,-0.502858663,-0.352836376,-0.652880949,0.182878784,0.338314666,0.027442901
29,-0.083961776,0.044604827,-0.212528378,-0.464058591,-0.313266023,-0.614851159,0.120127553,0.280050679,-0.039795574
30,-0.123106478,0.002645057,-0.248858012,-0.425324913,-0.273791064,-0.576858762,0.053946682,0.217143132,-0.109249768
31,-0.159162197,-0.037777125,-0.280547268,-0.387999072,-0.236424532,-0.539573612,-0.017513162,0.145598106,-0.180624429
32,-0.189550157,-0.070826645,-0.308273668,-0.356652184,-0.206585073,-0.506719295,-0.091694053,0.072144368,-0.255532473
33,-0.220735515,-0.105654067,-0.335816962,-0.33484727,-0.184719863,-0.484974677,-0.171576097,-0.012252728,-0.330899465
