#{"t_start": 1629141151.5931082, "env_id": 0}
r,l,t
-6.133284,92,70394.018026
-5.087634,91,70413.982184
5.005517,120,70438.839268
6.222145,120,70463.347972
5.945048,120,70488.695822
6.580417,120,70514.484455
4.961342,120,70539.2061
7.62058,120,70564.61498
1.849244,120,70585.306084
-2.927947,112,70608.736062
-5.359626,97,70630.005401
7.074265,120,70655.714883
4.580831,120,70680.868944
5.981133,120,70705.454598
5.370082,120,70730.964398
4.210066,120,70756.268389
6.640626,120,70781.830987
-3.601509,86,70796.141832
-3.223351,115,70820.051299
7.145344,120,70846.336305
6.384943,120,70872.722767
1.778535,120,70898.67548
4.984358,120,70925.365994
-3.606852,120,70952.785606
4.529533,120,70978.06819
2.33281,120,71004.692565
-4.07068,120,71029.778293
-6.737317,120,71056.252564
-8.007792,92,71073.248795
1.51839,120,71098.577461
-6.603691,99,71120.83968
6.063273,120,71148.556975
4.802036,120,71174.777555
1.204586,120,71202.061615
-1.868471,120,71229.29625
6.72848,120,71256.031932
-3.120241,99,71279.024616
7.425631,120,71307.263721
0.853566,120,71335.782574
-8.789255,89,71351.678658
0.011268,120,71377.739387
-3.220737,109,71403.734457
0.314441,120,71432.952151
-5.679201,120,71460.591359
1.398613,120,71492.15274
-5.569506,80,71509.752859
5.062768,120,71540.450741
0.001096,120,71568.615176
6.58195,120,71595.886651
4.469937,120,71626.5935
1.789732,120,71655.67277
0.849883,120,71683.295073
-4.676422,100,71706.842646
4.584819,120,71733.683669
2.109108,120,71759.075735
3.581446,120,71785.088068
0.220324,120,71814.329434
6.035892,120,71842.682055
5.58663,120,71864.152485
-1.508032,120,71892.519706
3.022099,120,71919.959721
-6.726596,96,71944.85206
5.419794,120,71974.055176
3.803158,120,72001.568618
4.311149,120,72028.46802
-5.512319,96,72051.67336
-6.611123,115,72080.240717
4.869667,120,72103.948415
3.586619,120,72132.59584
4.453488,120,72159.005625
-6.539683,90,72180.540673
5.898798,120,72207.25189
-4.548312,96,72229.659963
4.607574,120,72257.359915
1.504966,120,72283.463169
5.132548,120,72309.309888
-2.815795,84,72323.67795
5.834228,120,72350.882079
-6.823252,83,72369.334558
-5.875953,92,72390.814282
5.74547,120,72412.711917
