time,/jointset/groundPelvis/pelvis_tilt/value,/jointset/groundPelvis/pelvis_tx/value,/jointset/groundPelvis/pelvis_ty/value,/jointset/hip_l/hip_flexion_l/value,/jointset/hip_r/hip_flexion_r/value,/jointset/lumbar/lumbar/value,/jointset/knee_l/knee_angle_l/value,/jointset/knee_r/knee_angle_r/value,/jointset/ankle_l/ankle_angle_l/value,/jointset/ankle_r/ankle_angle_r/value,/jointset/groundPelvis/pelvis_tilt/speed,/jointset/groundPelvis/pelvis_tx/speed,/jointset/groundPelvis/pelvis_ty/speed,/jointset/hip_l/hip_flexion_l/speed,/jointset/hip_r/hip_flexion_r/speed,/jointset/lumbar/lumbar/speed,/jointset/knee_l/knee_angle_l/speed,/jointset/knee_r/knee_angle_r/speed,/jointset/ankle_l/ankle_angle_l/speed,/jointset/ankle_r/ankle_angle_r/speed,/hamstrings_r/activation,/bifemsh_r/activation,/glut_max_r/activation,/iliopsoas_r/activation,/rect_fem_r/activation,/vasti_r/activation,/gastroc_r/activation,/soleus_r/activation,/tib_ant_r/activation,/hamstrings_l/activation,/bifemsh_l/activation,/glut_max_l/activation,/iliopsoas_l/activation,/rect_fem_l/activation,/vasti_l/activation,/gastroc_l/activation,/soleus_l/activation,/tib_ant_l/activation,/lumbarAct,/hamstrings_r,/bifemsh_r,/glut_max_r,/iliopsoas_r,/rect_fem_r,/vasti_r,/gastroc_r,/soleus_r,/tib_ant_r,/hamstrings_l,/bifemsh_l,/glut_max_l,/iliopsoas_l,/rect_fem_l,/vasti_l,/gastroc_l,/soleus_l,/tib_ant_l
0,0.059669939,0.284138063,0.881782406,-0.338287177,0.28139655,-0.13962634,-0.308535143,-0.204843338,0.092920192,-0.043621671,0.419829846,1.355886165,-0.012006515,-0.494631638,-2.665579529,-4.86E-06,-2.771783262,0.950414935,-1.287139203,2.723866058,0.021316229,0.010214249,0.065720781,0.012313657,0.091171002,0.153132003,0.010045235,0.010032391,0.091620097,0.014923127,0.067171608,0.010064316,0.133924651,0.010532598,0.01003266,0.208845116,0.266822047,0.01001787,0.100112521,0.010026347,0.010391976,0.07050109,0.010153906,0.038415494,0.158090699,0.01001175,0.010012381,0.186281893,0.010111598,0.078249823,0.010049018,0.151074157,0.010264978,0.010020314,0.193865898,0.239161279,0.01001849
0.005022878,0.061694301,0.290902028,0.881790641,-0.340125669,0.268192673,-0.13962634,-0.323288037,-0.200337528,0.086063983,-0.028147667,0.38572116,1.337098156,0.015341128,-0.234871567,-2.590286144,2.64E-06,-3.104407958,0.85571933,-1.446268155,3.32274955,0.018048895,0.010252162,0.068031723,0.011675831,0.081349525,0.154319564,0.010035952,0.010026572,0.111686319,0.014732752,0.069885208,0.010059481,0.136979099,0.01044879,0.010028977,0.205247423,0.261220005,0.010017848,0.035072257,0.010070563,0.010299698,0.07842342,0.010107431,0.06517187,0.158588239,0.010015247,0.01001271,0.159114437,0.018026483,0.076999584,0.010046756,0.14323385,0.010229971,0.01001991,0.190257621,0.238740453,0.010017166
0.010045755,0.063539689,0.297567411,0.881937065,-0.340620833,0.255391717,-0.13962634,-0.339740895,-0.196126449,0.078357269,-0.011395986,0.348566185,1.316633103,0.043017512,0.040251213,-2.505150549,-5.55E-06,-3.448671349,0.83307257,-1.625781706,3.23255802,0.015740171,0.010251629,0.071805855,0.01121133,0.080796318,0.155355763,0.010030444,0.01002257,0.119653953,0.016907084,0.071549259,0.010055406,0.137476299,0.010379374,0.010026262,0.201625943,0.256638322,0.010017442,-0.029968007,0.010114779,0.01020742,0.086345749,0.010060955,0.091928245,0.159085779,0.010018743,0.01001304,0.131946981,0.025941368,0.075749346,0.010044493,0.135393542,0.010194964,0.010019505,0.186649345,0.238319628,0.010015842
0.015068633,0.065194963,0.304127989,0.882221152,-0.339713668,0.243034428,-0.13962634,-0.357930183,-0.19200715,0.069692921,0.004311077,0.310648097,1.295694095,0.06980726,0.321049243,-2.416635502,2.70E-06,-3.793268502,0.810565743,-1.826771434,3.018023538,0.014099591,0.01023921,0.07600779,0.010874671,0.082449097,0.156409713,0.010027445,0.010020403,0.122811381,0.020086218,0.072896621,0.010051874,0.137963992,0.010324792,0.010024119,0.198418803,0.252223076,0.010016859,-0.02682675,0.0101165,0.010210939,0.089699762,0.010060879,0.082922508,0.160771759,0.010021556,0.010017122,0.13353569,0.029734994,0.077618956,0.010042335,0.14339167,0.010191548,0.010018461,0.186861592,0.231635829,0.010015102
0.02009151,0.066661575,0.310584113,0.882635373,-0.337394555,0.231101115,-0.13962634,-0.377841087,-0.187949698,0.059979831,0.018886283,0.273443887,1.275041347,0.094833879,0.602461638,-2.336326716,-5.22E-06,-4.134185502,0.80843919,-2.043366627,2.781868932,0.012939386,0.010231498,0.079966706,0.010637059,0.081364816,0.157604469,0.010026163,0.010020082,0.125563267,0.023420436,0.074382222,0.010048747,0.140213586,0.010285314,0.010022301,0.195944988,0.247321656,0.010016229,-0.023685492,0.010118222,0.010214459,0.093053775,0.010060803,0.07391677,0.162457739,0.010024369,0.010021204,0.135124398,0.033528621,0.079488567,0.010040177,0.151389798,0.010188132,0.010017417,0.187073839,0.22495203,0.010014362
0.025114388,0.067944554,0.316938048,0.883169519,-0.33366639,0.219544786,-0.13962634,-0.399448267,-0.183877949,0.04913392,0.032313798,0.237747483,1.255124473,0.117367934,0.88067834,-2.267552774,2.54E-06,-4.466524894,0.816398763,-2.277923417,2.566277808,0.01212812,0.010227412,0.083458211,0.010467998,0.079213234,0.158188538,0.010025874,0.010020598,0.127633516,0.025770894,0.07593019,0.010046166,0.142178754,0.010255428,0.010020757,0.193439403,0.242190688,0.010015565,-0.001091809,0.010209449,0.010220371,0.094173965,0.010059232,0.072029952,0.15808399,0.010025909,0.010022421,0.133527715,0.029998307,0.08118809,0.010039736,0.146112996,0.010179056,0.010016693,0.181901216,0.219771283,0.010013608
0.030137265,0.069053319,0.323194477,0.883809546,-0.328560747,0.208297715,-0.13962634,-0.422682883,-0.179712666,0.037069468,0.044682738,0.204074992,1.236216816,0.136993581,1.150944899,-2.213180857,-4.94E-06,-4.782194276,0.845671156,-2.528568237,2.360384488,0.011582234,0.010226278,0.086332299,0.010348318,0.077115884,0.157638072,0.010026125,0.010021322,0.128828006,0.026429866,0.077507243,0.010044217,0.142444789,0.010231686,0.010019456,0.190343719,0.237023404,0.010014875,0.021501874,0.010300676,0.010226284,0.095294155,0.010057661,0.070143134,0.153710241,0.01002745,0.010023638,0.131931033,0.026467992,0.082887613,0.010039295,0.140836195,0.010169979,0.010015969,0.176728593,0.214590535,0.010012855
0.035160143,0.069998349,0.329358713,0.884540253,-0.32212425,0.197289676,-0.13962634,-0.447449227,-0.175361682,0.023701937,0.05603471,0.172568314,1.218431036,0.153404399,1.409674546,-2.171921055,2.41E-06,-5.074701402,0.889131456,-2.796428235,2.162632896,0.011447665,0.010229194,0.08871478,0.010263646,0.074494184,0.156271894,0.010026721,0.01002209,0.129641122,0.025473885,0.07919411,0.010042671,0.14207639,0.010213469,0.01001834,0.186566351,0.231543638,0.010014206,0.035529553,0.011869928,0.01024523,0.096069014,0.010061077,0.064099547,0.149735773,0.010028798,0.010024214,0.132570918,0.019964453,0.085167832,0.010038632,0.140875867,0.010169159,0.010015363,0.169654403,0.206799665,0.010012354
0.04018302,0.070790459,0.335436394,0.885345024,-0.314422029,0.186459519,-0.13962634,-0.473616973,-0.17075705,0.008953897,0.066437145,0.143185748,1.201752931,0.166484121,1.654926642,-2.142351224,-4.68E-06,-5.340199411,0.946666217,-3.078257788,1.982298585,0.011815012,0.010236843,0.090684298,0.010204972,0.070959199,0.154306359,0.010027539,0.010022801,0.13041337,0.022925676,0.081036691,0.010041387,0.141824346,0.010200388,0.010017375,0.182041744,0.225546235,0.010013586,0.049557231,0.01343918,0.010264176,0.096843874,0.010064494,0.058055961,0.145761305,0.010030145,0.01002479,0.133210803,0.013460915,0.087448052,0.010037969,0.140915539,0.010168339,0.010014758,0.162580214,0.199008794,0.010011853
0.045205898,0.071439936,0.341432951,0.886207034,-0.305523852,0.175753448,-0.13962634,-0.5010452,-0.165840289,-0.007248011,0.075967435,0.115691596,1.186091289,0.176207978,1.885683195,-2.121607997,2.33E-06,-5.575911664,1.011964517,-3.375143008,1.814500184,0.012530431,0.010248051,0.092726848,0.010164945,0.067098546,0.151494403,0.010028537,0.010023518,0.131050521,0.020197873,0.082752211,0.010040077,0.142058675,0.010193861,0.010016547,0.177497244,0.218662012,0.010013048,0.05222185,0.015013015,0.010284951,0.100655354,0.010072045,0.054518404,0.138561895,0.010031664,0.01002566,0.133018303,0.013327688,0.087977782,0.010035973,0.144490616,0.010187005,0.010014368,0.160419159,0.186912622,0.01001166
0.050228775,0.071955395,0.347353054,0.887109704,-0.295503375,0.165135759,-0.13962634,-0.529579266,-0.160581881,-0.024973476,0.084685578,0.089823071,1.171310487,0.182673993,2.101800822,-2.107153615,-4.70E-06,-5.780519097,1.082692304,-3.684898593,1.65892499,0.013497364,0.010262084,0.095189037,0.010138967,0.063303487,0.147654058,0.010029689,0.010024281,0.131488556,0.018206783,0.084153429,0.010038565,0.143030375,0.010194773,0.010015849,0.173461369,0.210616377,0.010012612,0.05488647,0.01658685,0.010305727,0.104466834,0.010079595,0.050980846,0.131362484,0.010033182,0.010026531,0.132825803,0.013194461,0.088507511,0.010033976,0.148065694,0.01020567,0.010013979,0.158258105,0.174816451,0.010011466
0.055251653,0.072344439,0.353200884,0.88803688,-0.284434153,0.154579947,-0.13962634,-0.559060636,-0.154963835,-0.04428836,0.092648421,0.065308672,1.157291753,0.186029598,2.302926605,-2.096442123,2.41E-06,-5.95223027,1.154344312,-4.00738421,1.513955742,0.01444442,0.010277111,0.09720922,0.010121639,0.059280628,0.14366541,0.01003075,0.010024914,0.131989142,0.017544187,0.085048221,0.010037015,0.144016217,0.010206789,0.01001536,0.168606175,0.20175454,0.010012285,0.049621374,0.016900377,0.010320254,0.102233184,0.010080131,0.045493789,0.129534127,0.010033417,0.010026356,0.134343418,0.018365909,0.08693769,0.010032652,0.146754665,0.010263034,0.010014368,0.145684203,0.163824885,0.010011525
