gait%,hipAngleHigh,hipAngleLow,kneeAngleHigh,kneeAngleLow,ankleAngleHigh,ankleAngleLow
0,1.055627491,0.238289803,-1.539729466,-0.458410728,0.413922285,-0.329326177
1,1.042565305,0.213331577,-1.489299173,-0.431124691,0.422853792,-0.312168893
2,1.018124565,0.185888576,-1.449184161,-0.413668677,0.433842518,-0.297317573
3,0.999793241,0.152070143,-1.426581138,-0.398270625,0.442856549,-0.289343028
4,0.980785531,0.124989429,-1.408291073,-0.384603194,0.45386692,-0.284368994
5,0.966911035,0.082064374,-1.393750676,-0.376895168,0.462400727,-0.27971219
6,0.951167168,0.037283556,-1.386415846,-0.367906105,0.466945926,-0.276095168
7,0.937091927,0.005333139,-1.386373749,-0.359876884,0.477192584,-0.276375298
8,0.921392634,-0.052688541,-1.386439227,-0.342705438,0.481692442,-0.276742225
9,0.906964044,-0.113302003,-1.386409535,-0.298383545,0.486173418,-0.281242463
10,0.894832724,-0.187105447,-1.386367385,-0.212229466,0.490658559,-0.281258772
11,0.872740892,-0.265282621,-1.386611731,-0.105735227,0.491046921,-0.291576907
12,0.856398552,-0.372577771,-1.385517347,-0.01610046,0.490791952,-0.295799348
13,0.841771305,-0.497036933,-1.392272783,0.067003061,0.491232684,-0.300297488
14,0.817195817,-0.629175698,-1.394483166,0.147911518,0.48688103,-0.316105135
15,0.79109741,-0.724322623,-1.399601419,0.210860662,0.482064588,-0.324889248
16,0.760365005,-0.771931486,-1.403501445,0.242886244,0.47752506,-0.336846914
17,0.73202202,-0.809716961,-1.402206271,0.285393722,0.47326744,-0.355534651
18,0.689024327,-0.84111696,-1.406171026,0.307385321,0.464229229,-0.378235005
19,0.644229668,-0.85445037,-1.410426159,0.327922161,0.45469622,-0.396289489
20,0.599505463,-0.869687767,-1.413379711,0.345325128,0.443798244,-0.418602215
21,0.56061615,-0.876141516,-1.418623832,0.357181601,0.434733164,-0.440823952
22,0.51961745,-0.882920264,-1.420773182,0.370823085,0.419279196,-0.468062244
23,0.474199509,-0.889637059,-1.426618408,0.372715917,0.409788267,-0.497837088
24,0.437433636,-0.896248481,-1.42894714,0.376519938,0.393837036,-0.542218356
25,0.396590522,-0.904503453,-1.434926915,0.378315402,0.376220003,-0.580189904
26,0.363874933,-0.911219849,-1.434814414,0.372260375,0.352869323,-0.643818445
27,0.330719232,-0.917933004,-1.434841509,0.371274452,0.334806209,-0.69533909
28,0.303941514,-0.924557067,-1.434832264,0.362767245,0.308161905,-0.737683191
29,0.274583605,-0.932628426,-1.434805901,0.351353384,0.286208319,-0.757473048
30,0.249891301,-0.939534864,-1.435055433,0.336100997,0.258254096,-0.774141035
31,0.217741382,-0.946059354,-1.42837986,0.319931436,0.222467671,-0.783269847
32,0.191354052,-0.953430294,-1.420880415,0.302569707,0.189374569,-0.787893674
33,0.16168491,-0.955282364,-1.404971521,0.286262198,0.156765706,-0.793294333
34,0.13149413,-0.955368838,-1.389118789,0.269099383,0.127293469,-0.793323549
35,0.098037434,-0.952284156,-1.37117385,0.252843016,0.089900411,-0.793446802
36,0.061849582,-0.944013996,-1.348502855,0.233891899,0.060121373,-0.789119646
37,0.023555386,-0.937165775,-1.328659682,0.212443575,0.030060413,-0.788497534
38,-0.010803998,-0.927372788,-1.292250047,0.191543834,-0.000835682,-0.785121549
39,-0.05078995,-0.911747843,-1.261162848,0.173600645,-0.034912983,-0.783818105
40,-0.091504335,-0.896056898,-1.214800227,0.155017968,-0.077232822,-0.781109804
41,-0.128190071,-0.886844058,-1.164502536,0.134258568,-0.119189721,-0.778595327
42,-0.160928098,-0.875759253,-1.114094576,0.107658569,-0.181893694,-0.779097525
43,-0.199645155,-0.863395528,-1.044886487,0.088520959,-0.248251496,-0.778957898
44,-0.233072406,-0.860822905,-0.984207235,0.062156698,-0.311841093,-0.779049357
45,-0.273411492,-0.861121634,-0.916769384,0.039633813,-0.363400682,-0.778967339
46,-0.318189503,-0.861142863,-0.866740155,0.014289453,-0.395920411,-0.779145472
47,-0.363804966,-0.860757351,-0.836039466,-0.014332167,-0.413417978,-0.778413505
48,-0.424941687,-0.861888084,-0.824193948,-0.042641597,-0.422631947,-0.774333926
49,-0.454242184,-0.868390506,-0.824382916,-0.0709857,-0.421971878,-0.773439563
50,-0.463645558,-0.868258513,-0.837688953,-0.097305202,-0.419323359,-0.769480761
51,-0.453048301,-0.86143091,-0.856509224,-0.117247985,-0.404413175,-0.769371871
52,-0.427494891,-0.860722582,-0.882027367,-0.152936633,-0.38822427,-0.764872383
53,-0.395245639,-0.85393571,-0.91881129,-0.18419086,-0.360712331,-0.760538644
54,-0.350596442,-0.84077583,-0.96903389,-0.205839186,-0.330810604,-0.749859402
55,-0.311253268,-0.824284324,-1.04350405,-0.24121185,-0.300664119,-0.740908212
56,-0.276267888,-0.81083493,-1.129844958,-0.273642799,-0.271084409,-0.729935841
57,-0.231884215,-0.787066028,-1.213937642,-0.303569273,-0.233839319,-0.720891508
