gait%,hipAngle,hipAngleHigh,hipAngleLow,kneeAngle,kneeAngleHigh,kneeAngleLow,ankleAngle,ankleAngleHigh,ankleAngleLow
0,0.516565099,0.569343855,0.463786342,-0.060248766,-0.015498524,-0.104999008,0.041975169,0.082013022,0.001937315
1,0.51658756,0.571524565,0.461650554,-0.081949643,-0.033658346,-0.130240939,0.035417449,0.075431617,-0.004596719
2,0.516333008,0.57315125,0.459514766,-0.105504663,-0.055486843,-0.155522483,0.025026421,0.065018187,-0.014965346
3,0.514756982,0.573181879,0.456332085,-0.13048067,-0.080211744,-0.180749595,0.006787203,0.045411339,-0.031836934
4,0.511944959,0.57320748,0.450682438,-0.153294685,-0.096791157,-0.209798213,-0.015112348,0.02481831,-0.055043006
5,0.509114455,0.573218486,0.445010423,-0.183057027,-0.122582565,-0.243531488,-0.044510651,-0.002260262,-0.086761039
6,0.508007712,0.573197256,0.442818168,-0.209757285,-0.142429954,-0.277084615,-0.068217229,-0.025319497,-0.11111496
7,0.504522542,0.573195648,0.435849436,-0.242568451,-0.165304219,-0.319832682,-0.085073382,-0.039566816,-0.130579948
8,0.499853303,0.569621686,0.43008492,-0.271854081,-0.186707763,-0.357000398,-0.092273061,-0.044439624,-0.140106497
9,0.492597109,0.56576593,0.419428287,-0.300530916,-0.205793043,-0.395268789,-0.091106512,-0.039168006,-0.143045017
10,0.487353655,0.562314392,0.412392918,-0.325855673,-0.227034922,-0.424676423,-0.086344621,-0.030283751,-0.142405491
11,0.480425252,0.556798269,0.404052235,-0.342882121,-0.243410276,-0.442353966,-0.075282901,-0.015166938,-0.135398863
12,0.468295846,0.545890411,0.390701281,-0.359199402,-0.260113016,-0.458285788,-0.064434463,0.000565151,-0.129434076
13,0.459838435,0.536957188,0.382719682,-0.3714615,-0.27513429,-0.467788709,-0.050811959,0.019073503,-0.12069742
14,0.446570701,0.523500514,0.369640888,-0.380389185,-0.285354601,-0.475423768,-0.036012772,0.039133436,-0.111158979
15,0.433490376,0.510343903,0.356636848,-0.384102211,-0.292440721,-0.475763701,-0.021051992,0.057127826,-0.09923181
16,0.418133516,0.492555731,0.343711301,-0.386009174,-0.296391367,-0.47562698,-0.00739673,0.075518406,-0.090311866
17,0.403148019,0.476056007,0.330240031,-0.382813608,-0.297001248,-0.468625967,0.006060273,0.09330536,-0.081184814
18,0.385619852,0.457320006,0.313919698,-0.379157076,-0.292557338,-0.465756813,0.019429598,0.108330808,-0.069471612
19,0.368171212,0.435411618,0.300930806,-0.371900644,-0.289424956,-0.454376331,0.028737046,0.117520773,-0.060046681
20,0.347890036,0.413208756,0.282571315,-0.361607054,-0.282333856,-0.440880252,0.038255822,0.128385102,-0.051873459
21,0.329979991,0.394037564,0.265922417,-0.350624153,-0.275582663,-0.425665642,0.045168819,0.135068204,-0.044730567
22,0.309350998,0.372469495,0.2462325,-0.337583641,-0.264641187,-0.410526094,0.05330356,0.14183125,-0.03522413
23,0.287615617,0.350278789,0.224952444,-0.326470877,-0.257482208,-0.395459545,0.058401069,0.145978853,-0.029176715
24,0.266680296,0.3279967,0.205363892,-0.311562985,-0.24510838,-0.378017589,0.064656373,0.150259077,-0.020946332
25,0.244577618,0.303139201,0.186016034,-0.298612745,-0.235488549,-0.361736941,0.068704644,0.152057448,-0.014648161
26,0.221920229,0.279925144,0.163915314,-0.286269792,-0.225897082,-0.346642502,0.074151268,0.156218845,-0.00791631
27,0.200027618,0.258390022,0.141665214,-0.271559428,-0.215463437,-0.327655419,0.077502625,0.157645781,-0.002640531
28,0.177911638,0.232566623,0.123256652,-0.254187865,-0.200483062,-0.307892668,0.082054044,0.159746874,0.004361213
29,0.155666737,0.210323401,0.101010072,-0.239050865,-0.185770543,-0.292331186,0.086313808,0.163797531,0.008830085
30,0.133454808,0.188109793,0.078799822,-0.226199295,-0.175840629,-0.276557961,0.090577669,0.167917133,0.013238204
31,0.111223549,0.165880787,0.056566311,-0.209612876,-0.160621561,-0.258604191,0.096170171,0.172003189,0.020337152
32,0.088994359,0.143649344,0.034339373,-0.196742098,-0.150015929,-0.243468267,0.100560393,0.176709108,0.024411677
33,0.069324716,0.123979701,0.01466973,-0.17854622,-0.133348512,-0.223743928,0.104966803,0.180827538,0.029106067
34,0.048318321,0.102973306,-0.006336665,-0.165821233,-0.122870075,-0.208772391,0.109291227,0.185366181,0.033216272
35,0.026708503,0.080748555,-0.02733155,-0.15038229,-0.10711265,-0.193651929,0.114192472,0.189623569,0.038761375
36,0.008273513,0.060601559,-0.044054534,-0.138471906,-0.098131556,-0.178812256,0.119191673,0.193742555,0.04464079
37,-0.010373929,0.044013695,-0.064761553,-0.125264893,-0.08345281,-0.167076975,0.123576754,0.198409435,0.048744073
38,-0.029013359,0.023974707,-0.082001424,-0.114675874,-0.074165997,-0.15518575,0.129383786,0.202541021,0.056226551
39,-0.045897246,0.008709454,-0.100503946,-0.105037717,-0.065208438,-0.144866996,0.1351763,0.207435494,0.062917106
40,-0.062961438,-0.009870036,-0.11605284,-0.098036896,-0.053863447,-0.142210345,0.141793778,0.213952855,0.069634701
41,-0.079146746,-0.02527447,-0.133019021,-0.090523054,-0.046114167,-0.134931941,0.150002223,0.221792591,0.078211855
42,-0.093737497,-0.039458512,-0.148016481,-0.087118573,-0.043808838,-0.130428307,0.157836443,0.230866757,0.084806129
43,-0.108848256,-0.052380803,-0.165315709,-0.085825952,-0.041009711,-0.130642192,0.166633806,0.240022844,0.093244767
44,-0.121992822,-0.065588347,-0.178397296,-0.0858385,-0.041158228,-0.130518771,0.175437809,0.249688157,0.10118746
45,-0.135162465,-0.079010257,-0.191314672,-0.088236565,-0.041512476,-0.134960654,0.185227961,0.261924166,0.108531756
46,-0.147690087,-0.091150146,-0.204230028,-0.09240327,-0.045423881,-0.139382659,0.194798334,0.274187696,0.115408972
47,-0.158812016,-0.10042938,-0.217194651,-0.10139365,-0.052378171,-0.150409129,0.203614064,0.285708484,0.121519643
