#{"t_start": 1628091951.445073, "env_id": 0}
r,l,t
1.777632,50,55389.7925
-13.118719,50,55397.7885
-18.134286,50,55408.1345
-19.722663,50,55415.9365
-15.644034,50,55422.8265
-10.735809,50,55434.814497
0.80581,50,55443.7355
1.49598,50,55453.6735
-1.075599,50,55460.291001
-17.348224,50,55467.5575
-12.798099,50,55477.327
0.244206,50,55484.344
-15.253843,50,55494.425
-9.997877,50,55501.1675
1.771499,50,55506.8525
-8.523166,50,55516.482
-0.322702,50,55523.771999
-5.629507,50,55533.6805
1.498837,50,55540.5045
0.20917,50,55546.4075
-1.763523,50,55555.4645
0.073515,50,55562.680999
-15.956683,50,55567.742
-13.635996,50,55576.261
0.536562,50,55582.184999
0.577163,50,55591.3805
-7.405847,50,55597.64
0.693953,50,55605.118999
0.628958,50,55613.9755
-1.101327,50,55619.526
-0.494854,50,55629.212999
0.408228,50,55635.9185
-17.146403,50,55642.1625
-17.558728,50,55653.9315
0.560863,50,55661.417999
-7.31146,50,55670.602501
-3.431589,50,55677.347
-19.000656,50,55685.102001
-16.883227,50,55694.627
-1.958236,50,55701.4945
0.360337,50,55711.838999
-1.390174,50,55718.5185
-0.619363,50,55725.381499
-3.55409,50,55734.765
-0.865599,50,55741.9
-3.511998,50,55749.0505
1.189052,50,55757.653001
1.135971,50,55763.737
-18.053094,50,55774.654
-0.62793,50,55782.1875
-2.627815,50,55788.8925
-0.168173,50,55797.771
0.367862,50,55803.7025
-2.839108,50,55813.724
-19.465689,50,55820.144
-1.187524,50,55827.0135
0.728234,50,55836.0605
-8.556196,50,55841.831
-14.176514,50,55851.616
-17.812164,50,55859.1765
-15.514965,50,55866.5765
-18.161819,50,55876.6775
1.013416,50,55883.2735
-15.206404,50,55890.588
-0.015768,50,55901.683
1.326958,50,55906.9455
0.729209,50,55917.421
0.095828,50,55925.2915
-3.931165,50,55933.111
-17.115654,50,55944.1845
-20.598671,50,55952.205501
-13.637096,50,55960.965499
1.462093,50,55967.7585
-9.829353,50,55974.2615
-2.416481,50,55985.3825
1.055881,50,55991.677502
-1.246048,50,56000.300001
-13.291722,50,56009.676999
0.4934,50,56015.8265
-2.634905,50,56025.849
-3.641148,50,56033.6845
-19.44703,50,56043.2005
-2.098421,50,56049.6895
-20.246736,50,56057.3735
-9.469783,50,56067.7455
-0.049026,50,56073.4445
-0.593464,50,56079.369
-20.501209,50,56089.841
-0.408817,50,56098.0185
-9.271805,50,56108.265
0.771766,50,56115.981
1.780954,50,56121.932999
-6.651274,50,56132.135
-1.275676,50,56138.135
0.021723,50,56146.9655
-12.276996,50,56154.085499
0.939058,50,56160.930999
-18.714963,50,56170.9295
-1.026795,50,56177.002501
0.789372,50,56186.7845
0.501413,50,56194.635
-0.026307,50,56201.368998
-17.504462,50,56210.207499
-1.229571,50,56216.9535
-18.790507,50,56226.6175
-17.379979,50,56232.873499
-0.812616,50,56239.582999
0.346924,50,56249.2115
0.326584,50,56255.482
