#{"t_start": 1627925653.504297, "env_id": 0}
r,l,t
-1.989942,50,5.015481
-36.904036,50,10.296928
-37.977983,50,17.451566
-0.512879,50,22.592578
-1.524729,50,27.386989
-0.248366,50,35.103107
-3.601489,50,39.766754
-1.48532,50,47.837018
-35.433881,50,52.985041
-6.6493,50,57.735402
-16.417742,50,65.671975
-1.584821,50,70.710711
-16.224964,50,78.896627
-2.371991,50,83.528925
-23.111971,50,88.614444
-3.766083,50,96.027347
-4.159495,50,101.31603
-38.650434,50,108.901641
-34.675323,50,114.822356
-1.082746,50,120.088382
-24.750371,50,128.258231
-3.151912,50,132.984319
-35.055546,50,137.9291
-4.995298,50,146.373253
-0.417202,50,151.443106
-20.958319,50,158.910964
-4.210448,50,163.694447
-10.032244,50,169.311178
-6.570712,50,177.489735
-3.501587,50,182.747088
-38.418149,50,191.418033
-3.781285,50,196.456669
-4.531688,50,201.354685
-0.010689,50,209.753116
-15.281053,50,214.744836
-7.300129,50,222.5762
-1.102176,50,228.041197
-2.094715,50,233.564178
-14.143949,50,241.540676
-15.422191,50,246.876137
-3.827217,50,254.6806
-4.773057,50,259.468211
-23.110491,50,264.584935
-7.289988,50,272.115312
-4.679742,50,277.115525
-2.011927,50,282.583072
-2.284626,50,290.69906
-11.351829,50,296.197745
-7.192124,50,304.07945
-29.146298,50,308.707379
-4.604857,50,313.390938
-1.837058,50,321.554051
-31.267885,50,326.827084
-37.976123,50,334.892807
-40.410638,50,340.264001
-36.207813,50,345.871286
-4.191364,50,353.894547
-1.603206,50,358.808098
-2.394568,50,366.398986
-4.511867,50,371.687806
-0.838413,50,376.319182
-6.358616,50,384.779957
-17.140831,50,389.552843
-40.41322,50,394.3456
-5.725385,50,402.567777
-2.56854,50,407.950226
-2.122663,50,415.784988
-2.222892,50,420.40864
-24.045579,50,425.810905
-12.357057,50,433.517249
-33.978013,50,438.758966
-8.641285,50,447.320385
-17.066477,50,452.070747
-5.508907,50,457.249926
-14.614956,50,465.310455
-3.497168,50,470.58775
-5.957682,50,478.39517
-2.368298,50,483.668065
-33.405118,50,488.941069
-5.861311,50,496.924532
-17.138778,50,502.119438
-3.156337,50,510.08021
-16.711415,50,515.650047
-35.531675,50,520.548079
-4.441806,50,528.040154
-35.218773,50,532.813152
-2.936069,50,537.851701
-21.325922,50,545.379924
-4.824038,50,549.981038
-1.757606,50,557.676198
-11.505324,50,562.37109
-1.662441,50,567.144167
-2.095432,50,574.955617
-8.17856,50,579.916115
-2.055443,50,587.845633
-40.245444,50,592.555103
-0.633218,50,597.326041
-12.488412,50,604.676425
-12.763665,50,609.339961
-5.319188,50,616.80063
-8.407907,50,621.589193
-7.060563,50,626.815295
-29.660969,50,634.626734
-0.069035,50,639.508119
-41.85231,50,647.624207
-2.653448,50,652.803331
-7.195052,50,657.623245
-0.652044,50,665.707463
-32.467958,50,670.462517
-0.726682,50,675.0792
-2.205363,50,683.180434
-3.012683,50,688.015901
-15.90201,50,696.170558
-2.592919,50,701.115414
-0.917835,50,705.834523
-3.468335,50,713.817868
-6.435371,50,718.465723
-4.647304,50,726.410889
-42.810442,50,730.996302
-3.67929,50,736.300592
-2.484468,50,744.198816
-3.214416,50,749.487314
-34.858541,50,757.422736
-26.615884,50,762.570663
-2.954688,50,767.617917
-3.223512,50,775.695005
-2.112841,50,780.889783
-5.728362,50,786.006613
-38.966039,50,794.326712
-6.468408,50,799.365466
-2.939368,50,807.136869
-2.809573,50,811.830735
-36.853545,50,816.736039
-1.57442,50,824.702882
-5.832715,50,829.427524
-4.123286,50,837.13639
-9.562443,50,842.175037
-38.539848,50,847.635608
-3.321998,50,855.080682
-6.96179,50,859.900541
-2.105006,50,867.540219
-4.19964,50,872.335685
-3.284243,50,877.618109
-8.751616,50,885.342767
-4.847859,50,890.411095
-5.94588,50,898.540137
-39.258013,50,903.00057
-41.58667,50,907.867237
-3.894387,50,915.982729
-27.156451,50,921.036907
-1.765402,50,926.01297
-37.86054,50,933.239339
-1.941017,50,938.308182
-33.014393,50,945.550133
-7.700004,50,950.682552
-40.120383,50,955.393059
-0.3739,50,963.588174
-1.464364,50,968.251732
-1.392736,50,975.993679
-0.467768,50,981.172919
-7.888663,50,986.023974
-29.850262,50,993.187818
-43.312056,50,997.679501
-0.810738,50,1005.568028
-21.247356,50,1010.590966
-44.578945,50,1015.160818
-6.822776,50,1023.088303
-23.281928,50,1027.877101
-0.729694,50,1035.562784
-18.017033,50,1040.554497
-6.888677,50,1045.103919
-42.588559,50,1052.439617
-1.35302,50,1057.197214
-1.87795,50,1061.766032
-5.88406,50,1069.451632
-36.112178,50,1074.155113
-17.212579,50,1081.861508
-37.865672,50,1086.509362
-1.112732,50,1091.068038
-1.062538,50,1098.575737
-11.969223,50,1103.786231
-1.122098,50,1111.534203
-3.973529,50,1116.072779
-4.119936,50,1120.923904
-10.942446,50,1128.509583
-36.061047,50,1133.313814
-4.904897,50,1140.592594
-2.151433,50,1145.803217
