time,/jointset/groundPelvis/pelvis_tilt/value,/jointset/groundPelvis/pelvis_tx/value,/jointset/groundPelvis/pelvis_ty/value,/jointset/hip_l/hip_flexion_l/value,/jointset/hip_r/hip_flexion_r/value,/jointset/lumbar/lumbar/value,/jointset/knee_l/knee_angle_l/value,/jointset/knee_r/knee_angle_r/value,/jointset/ankle_l/ankle_angle_l/value,/jointset/ankle_r/ankle_angle_r/value,/jointset/groundPelvis/pelvis_tilt/speed,/jointset/groundPelvis/pelvis_tx/speed,/jointset/groundPelvis/pelvis_ty/speed,/jointset/hip_l/hip_flexion_l/speed,/jointset/hip_r/hip_flexion_r/speed,/jointset/lumbar/lumbar/speed,/jointset/knee_l/knee_angle_l/speed,/jointset/knee_r/knee_angle_r/speed,/jointset/ankle_l/ankle_angle_l/speed,/jointset/ankle_r/ankle_angle_r/speed,/hamstrings_r/activation,/bifemsh_r/activation,/glut_max_r/activation,/iliopsoas_r/activation,/rect_fem_r/activation,/vasti_r/activation,/gastroc_r/activation,/soleus_r/activation,/tib_ant_r/activation,/hamstrings_l/activation,/bifemsh_l/activation,/glut_max_l/activation,/iliopsoas_l/activation,/rect_fem_l/activation,/vasti_l/activation,/gastroc_l/activation,/soleus_l/activation,/tib_ant_l/activation,/lumbarAct,/hamstrings_r,/bifemsh_r,/glut_max_r,/iliopsoas_r,/rect_fem_r,/vasti_r,/gastroc_r,/soleus_r,/tib_ant_r,/hamstrings_l,/bifemsh_l,/glut_max_l,/iliopsoas_l,/rect_fem_l,/vasti_l,/gastroc_l,/soleus_l,/tib_ant_l
0,0.03656507,0.2459257,0.885995981,-0.238657802,0.43391415,-0.13962634,-0.217143431,-0.628673714,0.172799079,0.179569691,0.232629608,1.249618685,-0.075526846,-1.081975167,-2.749823595,1.35E-05,-1.236685173,11.49479555,-0.380344568,0.86398692,0.010034673,0.015225006,0.010361974,0.059117628,0.039760513,0.061594092,0.01001061,0.010007099,0.140484029,0.061520578,0.081309884,0.010018573,0.13307605,0.010030048,0.010006179,0.23612194,0.285112004,0.010005048,-0.040653682,0.010045722,0.010280235,0.010308545,0.051428886,0.037203156,0.081812621,0.010012339,0.010010187,0.150905425,0.048740446,0.077388692,0.010022657,0.13541991,0.010044384,0.010007798,0.205043183,0.249259008,0.010010175
0.00446175,0.03766705,0.251534817,0.885639115,-0.243530364,0.421090384,-0.13962634,-0.222798597,-0.576494205,0.171196558,0.182982327,0.260284443,1.264144753,-0.084306372,-1.099049591,-2.975080008,-5.95E-06,-1.300657755,11.80891459,-0.341187636,0.584222985,0.010036398,0.013909402,0.013905747,0.054671043,0.040701864,0.068918742,0.010010611,0.010007744,0.142931729,0.05604282,0.078963482,0.01001989,0.131732947,0.010032921,0.010006667,0.23097512,0.280812463,0.010005935,-0.009343266,0.010037011,0.010155813,0.036059865,0.03072308,0.04935274,0.102146327,0.010009036,0.010008929,0.153309595,0.029436668,0.065388181,0.010024345,0.118668479,0.010037661,0.010008224,0.21174406,0.271723839,0.010006761
0.0089235,0.038878315,0.257201394,0.885244866,-0.248437296,0.407574911,-0.13962634,-0.228771167,-0.524064253,0.169725987,0.184055564,0.281616928,1.275375775,-0.092283634,-1.097381527,-3.059884773,1.01E-05,-1.378963094,11.60705819,-0.321197011,-0.184659272,0.010035337,0.012905605,0.023225439,0.046187359,0.044432595,0.07919774,0.01000973,0.010007881,0.14536168,0.047113501,0.074348654,0.010021307,0.12708331,0.010033233,0.010007139,0.228025259,0.28126254,0.010005674,0.021967151,0.0100283,0.010031391,0.061811185,0.010017274,0.061502323,0.122480032,0.010005733,0.010007672,0.155713765,0.010132891,0.053387671,0.010026033,0.101917049,0.010030938,0.01000865,0.218444936,0.29418867,0.010003347
0.01338525,0.040157402,0.262903875,0.884820641,-0.253263118,0.394209254,-0.13962634,-0.235128725,-0.4744644,0.168267893,0.18047086,0.290220157,1.279999824,-0.097356623,-1.062030968,-2.906375984,-3.72E-06,-1.472884394,10.53327533,-0.332318977,-1.360817534,0.010031778,0.012146976,0.032806846,0.037300852,0.04822894,0.091469703,0.010008619,0.010007735,0.148400619,0.03795761,0.06839858,0.010021817,0.12267447,0.014130671,0.010007645,0.22539715,0.282971085,0.010005125,0.0438135,0.010016101,0.010029002,0.059574339,0.010603558,0.058302057,0.141942962,0.010005369,0.010007016,0.163902687,0.010075962,0.044914411,0.01002066,0.110841568,0.039678637,0.010009407,0.209909533,0.287758703,0.010003835
0.017846999,0.041454538,0.268616443,0.88438075,-0.257880556,0.381862565,-0.13962634,-0.241932676,-0.430900727,0.166761262,0.172460062,0.289707846,1.279897166,-0.099306155,-1.003972103,-2.603128012,4.68E-06,-1.579060624,8.901312274,-0.342954223,-2.168676609,0.010025913,0.011588177,0.039223798,0.030661347,0.050277515,0.105108079,0.010007708,0.010007452,0.152496649,0.030942105,0.061779859,0.010020756,0.121126839,0.024854219,0.010008219,0.221643195,0.283229085,0.010004852,0.065659849,0.010003902,0.010026614,0.057337493,0.011189843,0.055101791,0.161405892,0.010005005,0.01000636,0.172091609,0.010019034,0.036441152,0.010015286,0.119766087,0.069326337,0.010010165,0.201374129,0.281328736,0.010004324
0.022308749,0.042737009,0.274322071,0.883938847,-0.262212365,0.371030934,-0.13962634,-0.24921652,-0.39524217,0.165177026,0.162203259,0.284801609,1.277482935,-0.098300925,-0.936497426,-2.254906918,-7.29E-07,-1.687090412,7.090853214,-0.368243575,-2.442246948,0.010020042,0.011174893,0.042467075,0.02562618,0.053338774,0.118574666,0.010007678,0.010007564,0.14934794,0.025610191,0.056482956,0.010019144,0.120948054,0.034753341,0.010008755,0.217685162,0.282355968,0.010004731,0.055266575,0.010003683,0.010024656,0.047523552,0.010654416,0.06996153,0.170781364,0.010009969,0.01000926,0.104447595,0.010019863,0.042682396,0.010014125,0.120795903,0.058370135,0.010010302,0.200144526,0.275459282,0.010004464
0.026770499,0.043992713,0.280014328,0.883507827,-0.266225935,0.361716757,-0.13962634,-0.256997544,-0.367553648,0.163465811,0.150548313,0.27770878,1.273903372,-0.094427754,-0.86132014,-1.922922256,-1.85E-06,-1.801923493,5.328707054,-0.399872968,-2.79540024,0.01001568,0.010870787,0.042435786,0.021705075,0.059242227,0.130878514,0.010008982,0.01000842,0.132581101,0.021602255,0.053941013,0.010017652,0.121032877,0.039204794,0.010009184,0.214228935,0.280592062,0.01000468,0.044873302,0.010003465,0.010022697,0.037709611,0.010118989,0.084821268,0.180156836,0.010014932,0.010012159,0.036803581,0.010020693,0.048923639,0.010012964,0.121825719,0.047413933,0.010010438,0.198914923,0.269589828,0.010004605
0.031232249,0.045214793,0.285689525,0.883100237,-0.269888404,0.353774153,-0.13962634,-0.265311192,-0.347362308,0.161579392,0.136353881,0.270397722,1.2701809,-0.08794092,-0.780333006,-1.65101904,2.75E-06,-1.925301869,3.763459714,-0.447618014,-3.631551685,0.010017163,0.010645669,0.042386129,0.018693481,0.068254461,0.141790605,0.010011954,0.010011491,0.110513245,0.018601017,0.052427748,0.01001668,0.121439283,0.041722629,0.010010211,0.211145131,0.278465073,0.010004627,-0.023472314,0.010037559,0.010019048,0.046389584,0.010066904,0.108261755,0.184397749,0.010024987,0.01002716,0.023403351,0.010041056,0.046591329,0.010014926,0.123915033,0.051065201,0.010015453,0.197302651,0.267736975,0.010004362
0.035693999,0.046408314,0.291350135,0.882726076,-0.273188652,0.34686224,-0.13962634,-0.274183275,-0.33360183,0.159454583,0.117568988,0.264907274,1.26736471,-0.079443296,-0.698952723,-1.460910028,-9.19E-06,-2.052244337,2.446043488,-0.506731982,-4.853095631,0.010027349,0.010479476,0.04450456,0.016439872,0.080501851,0.151136015,0.010016816,0.010017745,0.08959376,0.016374343,0.050709178,0.010016491,0.122207633,0.044509821,0.010012302,0.208333856,0.276382738,0.010004523,-0.09181793,0.010071652,0.010015399,0.055069557,0.010014818,0.131702242,0.188638663,0.010035043,0.010042161,0.01000312,0.010061419,0.044259018,0.010016888,0.126004348,0.054716469,0.010020467,0.195690379,0.265884123,0.01000412
0.040155749,0.047584783,0.29700195,0.88239312,-0.276134466,0.340586163,-0.13962634,-0.283622939,-0.325082038,0.157033624,0.092608713,0.263081825,1.266398095,-0.069742084,-0.622133536,-1.362437874,6.34E-06,-2.17970582,1.38332827,-0.578967131,-6.101545186,0.012351881,0.010356448,0.047618432,0.014757511,0.093092158,0.160160639,0.010020231,0.010021688,0.079066599,0.014718699,0.049644337,0.010016254,0.124074254,0.047640433,0.010013916,0.205608365,0.273964372,0.010004435,-0.07589469,0.026787282,0.010015204,0.05906556,0.010020502,0.138795482,0.200800528,0.010024784,0.01002386,0.074029675,0.010049125,0.048272573,0.01001442,0.135395066,0.05951663,0.010016486,0.192717996,0.259981784,0.010004259
0.044617498,0.048761564,0.302653608,0.882104303,-0.278745717,0.334614691,-0.13962634,-0.293639031,-0.321165474,0.15428377,0.065209212,0.265047635,1.267294368,-0.059657682,-0.548983388,-1.324369518,-1.60E-05,-2.310631021,0.382624827,-0.654160621,-5.946490666,0.018453587,0.010266146,0.050932358,0.013515601,0.104181733,0.169713309,0.010019996,0.010019693,0.085591721,0.0134919,0.049825724,0.010015422,0.127558817,0.051162712,0.010014037,0.202826939,0.270914601,0.010004408,-0.059971449,0.043502911,0.01001501,0.063061563,0.010026187,0.145888721,0.212962393,0.010014525,0.01000556,0.138056229,0.010036831,0.052286128,0.010011951,0.144785785,0.06431679,0.010012505,0.189745614,0.254079444,0.010004398
0.049079248,0.049954266,0.308312825,0.881861572,-0.281032894,0.328687564,-0.13962634,-0.304253738,-0.321542635,0.151179069,0.047275793,0.268800419,1.269050138,-0.048496397,-0.472000695,-1.342784646,9.25E-06,-2.452161415,-0.459370844,-0.740592093,-2.079687562,0.022698729,0.010200093,0.054917871,0.012595488,0.109611629,0.177738849,0.010017712,0.010015804,0.097124578,0.012581305,0.050809095,0.010014457,0.130522087,0.051753211,0.010013383,0.200200696,0.267482846,0.010004391,-0.024464242,0.026753021,0.010018875,0.071236985,0.010020314,0.112557747,0.206477682,0.010008525,0.010004553,0.134565942,0.010034655,0.055290737,0.010011638,0.138265227,0.043637931,0.010010718,0.188789873,0.249672835,0.010004295
0.053540998,0.051153189,0.313974179,0.881677358,-0.282919656,0.322540509,-0.13962634,-0.315562843,-0.32444087,0.147647824,0.046763199,0.267836672,1.268251958,-0.033426809,-0.369495299,-1.422953385,-2.07E-05,-2.621897904,-0.747458372,-0.845360735,1.862474979,0.021448969,0.010152684,0.059886337,0.01191634,0.106400274,0.18278295,0.010014437,0.010012684,0.105071862,0.011910177,0.052285319,0.010013667,0.131442862,0.047108567,0.010012426,0.197889639,0.263862636,0.010004351,0.011042965,0.010003132,0.01002274,0.079412408,0.010014441,0.079226773,0.19999297,0.010002525,0.010003547,0.131075655,0.01003248,0.058295347,0.010011325,0.131744669,0.022959072,0.010008931,0.187834133,0.245266225,0.010004192
0.058002748,0.052330552,0.319622908,0.88156925,-0.28427095,0.315983048,-0.13962634,-0.327711014,-0.327575338,0.143604869,0.057295609,0.25929701,1.26347572,-0.01499383,-0.232648858,-1.512722758,1.08E-05,-2.827828831,-0.650179853,-0.967836624,2.730974598,0.018480159,0.010118484,0.064884383,0.011413403,0.1007777,0.185697891,0.010011479,0.010010297,0.10985909,0.011413176,0.054455059,0.010013256,0.131411134,0.040311221,0.010011252,0.195739391,0.259921695,0.010004327,0.050452837,0.010009512,0.010024623,0.082068117,0.010012267,0.082772382,0.195159109,0.010003984,0.010003814,0.122632335,0.010026961,0.063908603,0.010012846,0.130880149,0.016494544,0.010007152,0.185931781,0.239084677,0.010004323
0.062464498,0.053461454,0.325245759,0.88154391,-0.284963751,0.309075065,-0.13962634,-0.340834925,-0.330176701,0.13900309,0.069993057,0.247010517,1.256652251,0.003673799,-0.074322655,-1.580076767,-2.22E-05,-3.059277326,-0.508491583,-1.095855585,2.832963566,0.016274305,0.010093909,0.069280455,0.011043198,0.097165869,0.18706744,0.010009699,0.010008618,0.111690363,0.011046447,0.057451536,0.010013361,0.131202129,0.033504239,0.010009917,0.193632568,0.255556578,0.010004344,0.089862709,0.010015892,0.010026505,0.084723827,0.010010093,0.08631799,0.190325249,0.010005443,0.01000408,0.114189016,0.010021443,0.069521859,0.010014367,0.130015628,0.010030017,0.010005374,0.18402943,0.232903129,0.010004453
0.066926248,0.054531006,0.330834703,0.881600722,-0.284909821,0.301921868,-0.13962634,-0.35503986,-0.332159719,0.133812669,0.082586819,0.232115604,1.248448192,0.021625835,0.100689701,-1.623280515,1.06E-05,-3.310626425,-0.38385966,-1.232154352,2.79917556,0.014634121,0.010076521,0.073432365,0.010769709,0.094577864,0.18780121,0.010008587,0.010007457,0.112399889,0.010776454,0.060747034,0.010013359,0.131455868,0.027550503,0.010008623,0.191547989,0.251042758,0.010004353,0.077016837,0.010014633,0.010030035,0.088982614,0.010010151,0.085057575,0.191223294,0.010005561,0.010004393,0.115609473,0.010031239,0.072669608,0.010012425,0.134607691,0.010029857,0.01000473,0.182009202,0.228867677,0.010004308
0.071387998,0.055530011,0.336384774,0.881735398,-0.284045678,0.29461735,-0.13962634,-0.370399396,-0.333632893,0.127995652,0.094854841,0.215387515,1.23922768,0.038576019,0.288859026,-1.64790725,-2.00E-05,-3.576832173,-0.279951812,-1.376729554,2.68694877,0.013421789,0.010064714,0.07757818,0.010568949,0.092280619,0.188566508,0.010007802,0.01000669,0.113264986,0.010580858,0.063986833,0.010012839,0.132635759,0.023062241,0.010007502,0.189471428,0.246595436,0.010004321,0.064170965,0.010013373,0.010033565,0.0932414,0.010010208,0.083797159,0.192121338,0.010005678,0.010004705,0.117029929,0.010041036,0.075817356,0.010010484,0.139199753,0.010029698,0.010004087,0.179988974,0.224832224,0.010004163
0.075849747,0.056451278,0.341892084,0.881943001,-0.282318175,0.287233862,-0.13962634,-0.386971848,-0.334680646,0.121507678,0.106584336,0.197472206,1.229389501,0.054247442,0.486542226,-1.660610716,8.57E-06,-3.852594274,-0.191294943,-1.533673264,2.568476668,0.012523684,0.010056544,0.081439728,0.01042078,0.09046147,0.189335378,0.010007273,0.010006216,0.113971062,0.010717152,0.067034382,0.010012049,0.13404854,0.019690805,0.010006544,0.187494171,0.242428587,0.010004248,0.038669681,0.010013575,0.010034226,0.095164168,0.010009377,0.084680821,0.192806434,0.010005927,0.010005083,0.115991411,0.012059481,0.077735713,0.010009288,0.139367054,0.010026267,0.010003713,0.178875942,0.223166783,0.010003943
0.080311497,0.057291238,0.347354695,0.88221737,-0.279694735,0.279809281,-0.13962634,-0.404784699,-0.335354069,0.114290836,0.117753447,0.178941136,1.219190929,0.068503954,0.69046723,-1.6663275,-1.38E-05,-4.13284642,-0.112156863,-1.703448014,2.435754273,0.011862434,0.010050729,0.084827541,0.010311849,0.08925351,0.190087071,0.010006951,0.010005969,0.114293477,0.011354468,0.069797289,0.01001115,0.1351934,0.017178257,0.010005742,0.185681819,0.238707263,0.010004137,0.013168397,0.010013776,0.010034887,0.097086935,0.010008546,0.085564483,0.19349153,0.010006175,0.010005461,0.114952892,0.014077925,0.079654071,0.010008092,0.139534355,0.010022836,0.010003338,0.17776291,0.221501342,0.010003723
