time,/jointset/ground_pelvis/pelvis_tilt/value,/jointset/ground_pelvis/pelvis_tilt/speed,/jointset/ground_pelvis/pelvis_tx/value,/jointset/ground_pelvis/pelvis_tx/speed,/jointset/ground_pelvis/pelvis_ty/value,/jointset/ground_pelvis/pelvis_ty/speed,/jointset/hip_r/hip_flexion_r/value,/jointset/hip_r/hip_flexion_r/speed,/jointset/knee_r/knee_angle_r/value,/jointset/knee_r/knee_angle_r/speed,/jointset/ankle_r/ankle_angle_r/value,/jointset/ankle_r/ankle_angle_r/speed,/jointset/hip_l/hip_flexion_l/value,/jointset/hip_l/hip_flexion_l/speed,/jointset/knee_l/knee_angle_l/value,/jointset/knee_l/knee_angle_l/speed,/jointset/ankle_l/ankle_angle_l/value,/jointset/ankle_l/ankle_angle_l/speed,/jointset/back/lumbar_extension/value,/jointset/back/lumbar_extension/speed,/forceset/hamstrings_r/activation,/forceset/hamstrings_r/fiber_length,/forceset/bifemsh_r/activation,/forceset/bifemsh_r/fiber_length,/forceset/glut_max_r/activation,/forceset/glut_max_r/fiber_length,/forceset/iliopsoas_r/activation,/forceset/iliopsoas_r/fiber_length,/forceset/rect_fem_r/activation,/forceset/rect_fem_r/fiber_length,/forceset/vasti_r/activation,/forceset/vasti_r/fiber_length,/forceset/gastroc_r/activation,/forceset/gastroc_r/fiber_length,/forceset/soleus_r/activation,/forceset/soleus_r/fiber_length,/forceset/tib_ant_r/activation,/forceset/tib_ant_r/fiber_length,/forceset/hamstrings_l/activation,/forceset/hamstrings_l/fiber_length,/forceset/bifemsh_l/activation,/forceset/bifemsh_l/fiber_length,/forceset/glut_max_l/activation,/forceset/glut_max_l/fiber_length,/forceset/iliopsoas_l/activation,/forceset/iliopsoas_l/fiber_length,/forceset/rect_fem_l/activation,/forceset/rect_fem_l/fiber_length,/forceset/vasti_l/activation,/forceset/vasti_l/fiber_length,/forceset/gastroc_l/activation,/forceset/gastroc_l/fiber_length,/forceset/soleus_l/activation,/forceset/soleus_l/fiber_length,/forceset/tib_ant_l/activation,/forceset/tib_ant_l/fiber_length
0.63,0.137220532,0.29887787,0,0,0,0,0.241603987,0.587304989,0.011213977,-3.205979979,-0.01792816,-0.243268188,-0.498188512,-0.957709331,0.013194732,-1.325534183,0.152227815,0.394189272,-0.423577315,-0.247047215,0.18400923,0.11568212,0.09096099,0.18891413,0.02,0.15648227,0.17484345,0.09476707,0.05770393,0.10090699,0.02,0.0761677,0.16570581,0.08892133,0.02,0.04530867,0.23093002,0.07808741,0.19418156,0.07994049,0.36483748,0.18745024,0.02,0.11461533,0.5806965,0.11944842,0.02,0.13007266,0.02,0.07617419,0.43179493,0.09131315,0.20740987,0.04910013,0.35264169,0.07058679
0.63000664,0.137222515,0.298879292,0,0,0,0,0.241607886,0.58734251,0.011192695,-3.206314356,-0.017929775,-0.243349042,-0.498194869,-0.95761995,0.013185932,-1.325733608,0.152230432,0.394229799,-0.423578954,-0.247040567,0.18458685,0.11568242,0.09105574,0.18891381,0.02,0.15648249,0.17482647,0.09476697,0.05770091,0.10090777,0.02,0.07616873,0.16582576,0.08892139,0.02,0.04530862,0.23091472,0.0780875,0.19419758,0.07994054,0.36477755,0.18745038,0.02,0.114615,0.58083907,0.11944897,0.02,0.13007321,0.02,0.07617461,0.43205961,0.09131407,0.20748797,0.0491006,0.35259567,0.07058641
0.63001328,0.137224499,0.29888027,0,0,0,0,0.241611785,0.587380595,0.011171411,-3.206648835,-0.01793139,-0.243428357,-0.498201225,-0.957529926,0.013177132,-1.325933752,0.152233049,0.394279592,-0.423580594,-0.24703342,0.18528279,0.11568271,0.0911708,0.18891348,0.02,0.1564827,0.17480688,0.09476688,0.05769724,0.10090855,0.02,0.07616975,0.16597317,0.08892145,0.02,0.04530857,0.2308973,0.0780876,0.19422136,0.07994059,0.36471765,0.18745051,0.02,0.11461468,0.58101822,0.11944952,0.02,0.13007376,0.02,0.07617503,0.43238781,0.09131498,0.20758664,0.04910106,0.35253889,0.07058604
0.63004646,0.137234419,0.298878626,0,0,0,0,0.241631282,0.587579317,0.011064958,-3.208322698,-0.017939476,-0.243801964,-0.498232997,-0.957070354,0.013133109,-1.326945063,0.152246141,0.394664808,-0.423588792,-0.246990345,0.18873976,0.115684,0.09174384,0.18891179,0.02,0.15648378,0.17470902,0.09476639,0.0576789,0.10091245,0.02,0.07617488,0.16670759,0.08892172,0.02,0.04530834,0.23081027,0.07808806,0.19433993,0.07994084,0.36441836,0.18745116,0.02,0.11461304,0.58191214,0.11945221,0.02,0.13007652,0.02,0.07617712,0.43402385,0.09131938,0.20807849,0.04910335,0.35225521,0.07058416
0.63021241,0.137284006,0.298717408,0,0,0,0,0.241728883,0.588766753,0.010531856,-3.216725945,-0.017980055,-0.24510989,-0.498391614,-0.954551403,0.012912474,-1.332247169,0.152311984,0.399720626,-0.423629751,-0.246602895,0.20548335,0.11568749,0.09455359,0.18890243,0.02,0.15648918,0.17422091,0.09476401,0.05758734,0.1009321,0.02,0.07620055,0.17031574,0.08892265,0.02,0.04530716,0.23037621,0.07809043,0.19492503,0.07994194,0.3629277,0.1874544,0.02,0.11460485,0.58633665,0.1194647,0.02,0.1300903,0.02,0.07618764,0.44208289,0.09133796,0.21050137,0.04911382,0.35084216,0.07057488
0.63061288,0.137403413,0.297418053,0,0,0,0,0.241965419,0.592777771,0.009239567,-3.23719409,-0.018078292,-0.244704004,-0.498772461,-0.947172631,0.012376171,-1.346412045,0.152477209,0.428900191,-0.42372816,-0.244641388,0.24263243,0.11568332,0.10097379,0.18887446,0.02,0.15650226,0.17305122,0.09475846,0.05736739,0.10098051,0.02,0.0762628,0.17860631,0.08892215,0.02,0.04530427,0.22933633,0.07809639,0.19628509,0.0799436,0.35936977,0.18746197,0.02,0.11458519,0.59671423,0.11948944,0.02,0.1301237,0.02,0.07621317,0.46074334,0.09136676,0.21610826,0.04913382,0.34746859,0.0705533
0.63101335,0.137522079,0.295061614,0,0,0,0,0.242203835,0.598102119,0.007939042,-3.257843766,-0.01817546,-0.239898535,-0.499150044,-0.938322428,0.011833899,-1.361963521,0.152657687,0.474583433,-0.423825534,-0.241482761,0.27598702,0.11566633,0.10692572,0.18884071,0.02,0.1565154,0.17189305,0.09475319,0.05714884,0.10103021,0.02,0.07632548,0.18635319,0.08891824,0.02,0.0453013,0.22830709,0.07810268,0.19757506,0.07994394,0.35586656,0.1874692,0.02,0.11456566,0.60668838,0.11950881,0.02,0.13015727,0.02,0.07623895,0.47837884,0.09138331,0.22139649,0.04914844,0.34414571,0.07053282
0.63153773,0.137675725,0.29075142,0,0,0,0,0.242519622,0.606558718,0.006223584,-3.284985535,-0.018298441,-0.228273216,-0.499638681,-0.925095924,0.011114088,-1.38360127,0.152925512,0.548877544,-0.423950772,-0.235950899,0.31512418,0.11562849,0.1140862,0.18879071,0.02,0.15653274,0.17039371,0.09474667,0.05686479,0.10109705,0.02,0.07640817,0.19575789,0.08890865,0.02,0.04529732,0.22697525,0.07811139,0.19916469,0.07994253,0.35136014,0.18747816,0.02,0.11454031,0.61917796,0.11952879,0.02,0.13020152,0.02,0.07627312,0.50008104,0.0913962,0.2278783,0.04916244,0.33986955,0.07050753
0.63218199,0.13786098,0.284154048,0,0,0,0,0.242914171,0.618441901,0.004096477,-3.318151939,-0.018439298,-0.208163726,-0.500228996,-0.907210459,0.010213863,-1.411036741,0.153311244,0.649065845,-0.424100183,-0.227653879,0.3576542,0.11556114,0.12201699,0.188724,0.02,0.15655433,0.16857778,0.0947392,0.05651904,0.10118161,0.02,0.07651073,0.20629402,0.0888908,0.02,0.0452923,0.22536311,0.07812282,0.20097439,0.07993815,0.34594523,0.18748839,0.02,0.1145096,0.63370169,0.11954765,0.02,0.13025634,0.02,0.07631577,0.52483117,0.0914044,0.23521803,0.0491748,0.33472872,0.07047864
0.63282626,0.138041707,0.276812239,0,0,0,0,0.243316652,0.631027714,0.001948184,-3.350679613,-0.018565946,-0.18468289,-0.500807482,-0.888540401,0.009295973,-1.438260323,0.153761068,0.74576208,-0.424243922,-0.218472335,0.39535894,0.11547436,0.1291155,0.1886546,0.02,0.15657629,0.16679016,0.09473227,0.05617684,0.10126851,0.02,0.07661434,0.21584429,0.08886706,0.02,0.04528721,0.22377714,0.07813497,0.20263887,0.07993111,0.34066024,0.18749775,0.02,0.11447943,0.64739311,0.1195621,0.02,0.13031167,0.02,0.07635921,0.54772763,0.09140687,0.24193996,0.04918391,0.32970852,0.07045189
