gait%,hamstrings,gastroc,rect_fem,soleus,vasti,tib_ant
0,2.1634,0.3024,1.3,0.48,2.2953,3.1242
1,1.9917898,0.251898462,1.387259208,0.5333,2.499160288,3.229198943
2,1.885337458,0.251796922,1.487731564,0.5333,2.632377247,3.281
3,1.769250404,0.251690559,1.581910868,0.5333,2.823351304,3.257839019
4,1.657702511,0.251493644,1.675522655,0.526494426,2.949870519,3.131104932
5,1.577753856,0.255374737,1.76137081,0.48,3.089521685,2.864855332
6,1.527112548,0.301690456,1.821892207,0.45913117,3.182510595,2.511621704
7,1.445193952,0.308633573,1.864860863,0.4267,3.24266127,2.158032464
8,1.367570013,0.351867171,1.900817616,0.4267,3.262874343,1.804818014
9,1.314625808,0.36913898,1.891010839,0.4267,3.262986174,1.451259721
10,1.222230698,0.420265041,1.84504,0.454369459,3.190089562,1.097990358
11,1.162939509,0.471391102,1.773804383,0.509397468,3.042265941,0.790565474
12,1.051784636,0.527471454,1.674837787,0.564489597,2.817322581,0.535045243
13,1.001148419,0.614467488,1.586411872,0.668881678,2.583276498,0.368732261
14,0.9485337,0.685229285,1.444818806,0.738671127,2.283338443,0.281968734
15,0.848853698,0.785153755,1.339518797,0.793695877,1.98326257,0.2484
16,0.788677591,0.891472594,1.206405398,0.897587243,1.683372426,0.2484
17,0.738018496,0.949619323,1.082779068,0.967844297,1.410490239,0.273357507
18,0.699825276,1.065929843,0.974153786,1.022910891,1.185577419,0.331434471
19,0.699549854,1.1683888,0.885115609,1.078006027,0.976831201,0.384066238
20,0.686616842,1.274060026,0.786861276,1.12,0.841907183,0.4052
21,0.661577273,1.393429042,0.721678611,1.12,0.658223104,0.43716506
22,0.698822995,1.477573338,0.643812973,1.12,0.580434175,0.49791219
23,0.698548281,1.557354338,0.622285553,1.101844791,0.520485028,0.5098
24,0.714728045,1.670434148,0.622392796,1.0667,0.473023169,0.5098
25,0.74840754,1.741963376,0.622499946,1.039722957,0.473169978,0.5098
